Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hong Kong,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Macau,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Yunnan,Zhejiang
0,2,0,0,4,0,0,0,0,0,0,0,6,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,6,0,0,2,3,0,0,0,0,1,1,6,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,1,0,0,2,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,12
0,5,0,0,4,4,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,10,0,0,0,1,0,0,0,0,0,0,10,4,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0
0,4,0,0,0,3,1,1,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,1,1,3,0,1,0,0,0,0,1
0,13,0,0,0,6,0,0,0,0,0,0,19,1,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0
0,11,0,0,1,8,0,0,0,0,1,0,27,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,1
0,11,0,3,0,17,1,0,0,0,1,0,48,0,0,0,0,0,0,1,0,0,0,1,1,8,0,1,0,0,0,0,1
0,13,0,4,0,5,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,1,2,9,0,1,0,0,0,0,2
0,18,1,10,2,13,0,0,0,1,0,1,44,0,0,0,2,1,0,1,6,0,0,0,3,24,0,1,0,0,0,0,2
0,15,1,0,0,2,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0
0,21,0,5,0,13,0,0,0,0,0,0,31,1,0,0,3,0,0,0,1,0,0,1,0,10,0,2,4,0,0,0,2
0,3,0,4,0,5,0,0,0,0,0,0,25,0,0,2,2,0,1,0,5,0,0,1,1,19,0,2,0,0,0,0,1
0,5,0,6,0,15,0,0,0,0,0,1,45,0,0,12,2,0,1,1,1,0,0,3,2,18,1,0,6,0,0,2,2
0,3,0,3,0,8,0,0,0,0,0,0,42,0,0,3,1,0,0,0,2,0,0,0,1,17,0,1,4,0,0,2,4
0,4,0,6,0,11,0,0,0,0,0,0,32,0,0,2,0,0,2,4,4,0,0,0,0,17,0,0,6,0,0,0,4
0,4,1,1,2,8,0,0,0,0,0,1,51,0,0,1,3,1,1,2,0,0,0,0,0,7,1,2,5,0,0,0,3
0,0,0,2,0,9,0,0,0,2,0,0,46,0,0,2,1,0,0,2,1,0,0,0,1,6,0,0,8,0,0,0,1
0,3,0,3,0,10,0,0,0,0,0,0,57,0,0,10,1,0,0,3,3,0,0,0,1,11,0,0,0,0,0,2,2
0,0,0,2,0,7,0,0,0,2,0,0,57,1,0,4,0,0,0,1,0,0,0,2,0,7,1,2,2,0,0,0,0
0,2,0,0,0,6,0,0,0,2,4,0,47,0,1,6,1,0,0,1,0,0,0,0,1,6,0,2,0,0,0,1,1
0,2,0,4,0,7,0,0,0,1,1,0,47,0,0,0,4,0,0,0,2,0,0,0,3,4,0,1,4,0,0,1,2
0,1,0,1,0,2,0,0,0,0,2,0,22,1,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,2
0,1,0,0,0,8,0,0,0,1,13,0,29,0,0,0,0,0,0,1,1,0,0,0,1,2,1,1,0,0,0,0,1
0,1,0,0,1,8,0,0,0,0,20,0,32,0,0,1,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,1
0,0,0,1,0,1,0,0,0,0,20,0,21,0,0,3,0,0,0,2,0,0,0,0,1,2,0,1,0,0,0,0,1
0,1,0,0,0,3,0,0,0,0,25,0,25,0,0,3,0,0,0,0,1,0,0,0,2,5,25,0,0,0,0,0,1
1,0,0,0,0,3,0,0,0,0,40,0,13,0,0,2,0,0,0,0,0,0,0,0,0,9,3,0,2,0,0,0,1
0,0,0,0,0,5,0,0,0,0,29,0,16,0,0,2,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0
0,1,0,0,0,4,0,0,0,0,23,0,11,0,0,27,1,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0
0,0,0,1,0,4,0,0,0,0,23,0,4,0,0,34,1,0,1,0,0,0,0,0,0,52,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,56,0,5,0,0,1,0,0,1,0,0,0,0,0,0,11,1,0,1,0,0,0,0
0,0,0,1,0,9,0,0,0,0,79,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,2,0,0,0,0,22,0,4,0,0,0,0,0,2,0,0,0,0,0,0,4,13,0,0,0,0,0,1
0,3,0,0,0,5,0,0,0,1,20,0,1,0,0,3,0,0,0,0,0,0,0,0,0,6,8,0,1,0,0,0,0
0,0,0,1,0,6,0,0,0,0,11,0,4,325,0,0,0,0,0,1,0,0,0,0,3,0,3,0,3,0,0,0,0
0,0,0,1,0,2,0,0,0,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,6,0,2,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,8,0,4,0,0,0,0,0,2,0,0,0,0,21,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,7,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,7,0,0,0,0,1,0,0,1,0
0,0,0,0,0,1,0,0,0,0,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
