Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hong Kong,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Macau,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Yunnan,Zhejiang
5,5,1,0,0,19,5,2,1,0,9,3,7,1735,8,3,6,3,0,2,0,0,0,1,15,1,0,10,0,0,1,0,7
0,7,15,0,1,4,7,6,0,0,18,0,1,1253,11,0,9,4,1,0,0,0,0,0,58,1,1,2,2,0,0,0,15
0,5,5,0,0,14,4,6,0,0,4,0,6,1255,11,0,6,4,0,2,0,0,0,0,19,4,4,12,1,0,0,0,15
0,6,7,0,0,8,4,4,0,0,2,2,0,1391,5,1,0,5,0,0,0,1,0,5,7,1,0,10,0,0,0,0,4
0,8,10,0,0,7,3,4,1,1,5,0,2,1184,4,0,2,2,0,1,0,0,0,0,8,1,1,10,1,0,0,0,2
0,8,2,0,0,7,2,3,0,2,5,0,10,1235,6,0,1,0,0,0,0,0,0,0,5,3,1,5,0,0,0,0,0
0,7,3,0,1,3,0,3,0,0,1,1,1,1407,9,0,0,0,0,1,0,1,0,0,2,0,0,8,0,0,0,2,14
0,4,1,0,2,5,0,0,0,0,6,0,3,1328,0,0,1,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0
0,7,0,0,0,2,5,1,1,0,2,0,3,854,0,2,0,0,1,1,0,2,0,1,5,1,0,0,0,0,0,0,5
0,9,0,0,0,1,0,0,0,0,1,0,4,861,0,0,0,0,0,5,0,0,0,3,0,0,0,4,0,0,0,0,0
0,9,0,0,0,6,2,0,0,0,3,0,4,924,0,0,0,0,0,2,0,0,0,1,0,1,0,5,0,0,0,0,0
0,2,0,0,0,5,0,0,0,0,1,0,3,755,0,1,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,1
0,10,0,0,7,5,0,0,0,0,3,0,3,700,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
0,6,0,0,15,2,0,0,0,0,0,0,0,564,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
0,4,0,0,1,4,0,0,0,0,3,0,2,487,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
0,1,0,0,5,1,0,0,7,0,2,0,1,445,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
0,2,0,0,0,3,0,0,0,0,0,0,1,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,2,0,0,0,0,0,1,0,8,390,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1
0,2,0,0,2,1,0,0,0,0,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0,2,0,0,2,4,0,0,0,0,0,1,2,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,2,0,0,0,8,0,0,0,0,0,0,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,2,0,0,0,0,0,0,11,319,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
0,3,0,0,0,5,0,0,0,0,0,0,5,264,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1
0,0,0,3,2,1,0,0,0,0,0,0,19,173,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,6,0,1,0,8,2,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
0,10,0,1,0,3,0,0,0,0,0,0,26,141,0,0,1,0,0,0,0,0,0,2,1,5,0,0,5,0,0,0,0
0,4,0,1,4,10,0,0,0,0,0,0,0,150,0,0,0,0,0,1,0,0,0,1,1,8,0,1,4,0,0,0,1
0,3,0,2,0,9,0,0,0,0,0,0,33,183,0,0,1,0,0,1,0,0,0,0,0,27,0,1,0,0,0,0,1
0,2,0,2,1,8,0,0,0,0,0,1,10,69,0,0,0,0,0,2,0,0,0,1,0,6,0,1,0,0,0,0,0
0,5,0,0,0,6,0,0,0,2,0,0,0,59,0,0,0,0,0,2,0,0,0,0,0,17,0,1,7,0,0,1,0
0,7,0,3,1,10,0,0,0,0,1,0,48,69,0,0,0,0,1,1,0,0,0,0,0,12,1,0,1,0,0,0,2
0,9,0,0,2,12,0,0,0,1,0,0,29,45,0,5,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,3
0,5,0,3,0,11,0,0,0,0,0,0,16,49,0,0,1,1,2,0,0,0,0,0,0,13,0,5,6,0,0,0,0
0,5,0,6,0,3,0,0,0,0,0,0,27,28,0,0,2,0,1,1,0,0,0,2,1,3,1,1,3,0,0,1,1
0,5,0,4,0,6,0,0,0,0,0,1,24,17,0,4,2,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,2
0,5,0,4,0,11,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1
0,7,0,4,1,4,0,0,0,1,0,1,74,25,0,8,3,0,0,2,0,0,0,0,1,22,0,0,4,0,0,1,3
0,4,0,2,0,4,0,0,0,0,0,0,25,39,0,3,1,0,0,0,3,0,0,3,2,17,0,2,3,0,0,1,2
0,8,0,2,1,9,0,0,0,1,1,0,26,33,0,0,0,0,0,2,0,0,0,0,0,4,0,2,1,0,0,0,0
0,6,0,1,0,4,0,0,0,1,0,0,48,0,0,9,1,0,1,0,0,0,0,1,0,23,0,0,1,0,0,1,2
0,0,0,2,0,7,0,0,0,0,1,0,35,0,1,1,0,0,0,2,1,0,0,0,4,0,0,1,0,0,0,0,0
0,1,0,3,0,8,0,1,0,0,0,0,34,0,0,0,0,0,0,0,3,0,0,0,0,9,0,1,1,0,0,1,1
0,4,0,0,0,4,0,0,0,1,0,0,28,0,0,0,0,0,0,1,2,0,0,0,0,9,0,0,0,0,0,0,2
0,2,0,2,0,7,0,0,0,0,3,0,20,0,0,4,1,0,0,0,2,0,0,1,0,0,5,0,2,0,0,0,2
0,2,0,1,0,10,0,0,0,0,4,0,28,0,0,0,1,0,1,0,2,0,0,0,1,4,0,2,0,0,0,0,1
0,6,3,4,0,17,0,0,0,0,6,0,21,0,0,0,1,0,1,0,1,0,0,0,0,0,2,2,3,0,0,2,4
1,1,0,3,0,6,0,0,0,1,23,0,26,0,0,6,0,0,0,0,0,0,0,0,1,24,7,0,2,0,0,0,0
0,0,0,0,0,8,0,0,0,0,3,0,28,0,0,7,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,45,0,19,0,0,8,0,0,0,0,3,0,0,0,1,10,3,0,0,0,0,0,1
0,11,0,0,0,5,0,0,0,0,30,0,15,0,0,16,0,0,0,0,1,0,0,0,0,13,3,0,0,0,0,0,3
0,2,0,3,0,7,0,0,0,0,1,0,24,0,0,1,1,0,0,0,1,0,0,0,3,3,0,0,1,0,0,0,1
0,4,0,1,0,3,0,0,0,0,0,0,19,0,0,4,1,0,0,0,1,0,0,0,1,13,4,0,0,0,0,0,1
0,5,0,0,0,8,0,0,0,0,0,0,16,0,0,2,2,0,2,0,1,0,0,1,0,2,8,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,18,0,13,0,0,2,0,0,1,1,0,0,0,0,0,13,0,0,1,0,0,0,1
0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,1,0,0,4,0,0,0,0,0,0
0,6,0,0,0,2,0,0,0,0,52,0,15,0,0,2,0,0,1,0,2,0,0,8,1,3,4,0,1,0,0,0,0
0,1,0,0,0,2,0,0,0,2,62,0,21,0,0,4,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,2
0,1,0,0,0,4,0,0,0,0,39,0,20,0,0,7,0,0,0,0,0,0,0,1,2,1,3,0,0,0,0,0,0
