Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hong Kong,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Macau,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Yunnan,Zhejiang
0.0002092,0.0001840,0.0004087,0.0000527,0.0000176,0.0004323,0.0000220,0.0000069,0.0000121,0.0000104,0.0000387,0.0003024,0.0000351,0.5050436,0.0004352,0.0000038,0.0000817,0.0002981,0.0000042,0.0000091,0.0010294,0.0000722,0.0000305,0.0000388,0.0000494,0.0000915,0.0000262,0.0000596,0.0000221,0.0000000,0.0000022,0.0000237,0.0005767
0.0002335,0.0001680,0.0001618,0.0000246,0.0000080,0.0003164,0.0000160,0.0000053,0.0000679,0.0000234,0.0000774,0.0002811,0.0000000,0.2684926,0.0002643,0.0000038,0.0000673,0.0002790,0.0000000,0.0000061,0.0051471,0.0000361,0.0000153,0.0000388,0.0000432,0.0002887,0.0000069,0.0000421,0.0000347,0.0000000,0.0000014,0.0000158,0.0004737
